x_m,T_c_K,T_w_K,h_W_m2K,Re,Nu,f,dP_cum_Pa,T_sat_K,DeltaT_sat_K
3.4499999999999997,568.9570941032388,576.163999571782,92015.30380975996,1121491.2867067242,1908.7251752523832,0.011391272229406554,662779.4285881089,584.1471469665152,7.983147394733123
3.48,569.034852843626,576.2391011639768,92049.2418817597,1122520.347722596,1909.459444976152,0.011389528868876819,668493.8099680748,584.1471469665152,7.908045802538368
3.51,569.1126093658572,576.3142015800911,92083.19167329853,1123550.3301054977,1910.193980423586,0.011387785947229204,674207.3561187747,584.1471469665152,7.832945386424058
3.54,569.1903636701082,576.3893008198716,92117.15318809744,1124581.2346583493,1910.9287816837243,0.011386043464315482,679920.0672479926,584.1471469665152,7.757846146643601
3.57,569.2681157565548,576.4643988830649,92151.1264298784,1125613.0621847445,1911.66384884563,0.011384301419987487,685631.9435634423,584.1471469665152,7.682748083450292
3.5999999999999996,569.3458656253728,576.5394957694182,92185.11140236455,1126645.813488963,1912.3991819983962,0.011382559814097092,691342.9852727682,584.1471469665152,7.6076511970969705
3.63,569.4236132767378,576.6145914786783,92219.10810928013,1127679.4893759612,1913.1347812311428,0.011380818646496258,697053.1925835451,584.1471469665152,7.532555487836817
3.6599999999999997,569.5013587108256,576.6896860105926,92253.1165543503,1128714.0906513773,1913.8706466330152,0.011379077917037,702762.5657032781,584.1471469665152,7.457460955922556
3.69,569.579101927812,576.7647793649087,92287.13674130161,1129749.6181215388,1914.606778293192,0.011377337625571379,708471.1048394027,584.1471469665152,7.382367601606461
3.7199999999999998,569.6568429278725,576.8398715413739,92321.1686738614,1130786.072593445,1915.343176300874,0.011375597771951539,714178.8101992849,584.1471469665152,7.307275425141256
3.75,569.734581711183,576.9149625397359,92355.21235575824,1131823.4548747856,1916.0798407452917,0.011373858356029668,719885.6819902213,584.1471469665152,7.232184426779213
3.78,569.8123182779188,576.9900523597429,92389.26779072169,1132861.7657739313,1916.8167717157016,0.011372119377658032,725591.7204194386,584.1471469665152,7.157094606772262
3.81,569.890052628256,577.0651410011427,92423.33498248257,1133901.0060999389,1917.553969301392,0.011370380836688941,731296.9256940943,584.1471469665152,7.082005965372446
3.84,569.9677847623698,577.1402284636837,92457.41393477254,1134941.1766625463,1918.291433591673,0.01136864273297478,737001.2980212766,584.1471469665152,7.006918502831468
